datetime,ppm,pH,humidity,air_temperature
30-11-2023 03:09:12,507.81,3.0,0.0,0.0
30-11-2023 03:09:13,507.81,3.0,0.0,0.0
30-11-2023 03:09:14,507.81,2.0,0.0,0.0
30-11-2023 03:09:15,512.7,3.0,0.0,0.0
30-11-2023 03:09:16,512.7,3.0,0.0,0.0
30-11-2023 03:09:17,512.7,3.0,0.0,0.0
30-11-2023 03:09:18,512.7,2.0,0.0,0.0
30-11-2023 03:09:19,507.81,3.0,0.0,0.0
30-11-2023 03:09:20,507.81,3.0,0.0,0.0
30-11-2023 03:09:21,507.81,3.0,0.0,0.0
30-11-2023 03:09:22,507.81,3.0,0.0,0.0
30-11-2023 03:09:23,507.81,3.0,0.0,0.0
30-11-2023 03:09:24,507.81,3.0,0.0,0.0
30-11-2023 03:09:25,507.81,3.0,0.0,0.0
30-11-2023 03:09:26,507.81,3.0,0.0,0.0
30-11-2023 03:09:27,512.7,3.0,0.0,0.0
30-11-2023 03:09:28,507.81,3.0,0.0,0.0
30-11-2023 03:09:29,512.7,3.0,0.0,0.0
30-11-2023 03:09:30,507.81,3.0,0.0,0.0
30-11-2023 03:09:31,507.81,3.0,0.0,0.0
